Feature_group,Model,Tuning,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_samples,n_cv_runs,CV_protocol,Source,Best_params
Total-Cd-only,XGBoost,Default,21.06379793069133,2.8615249663082776,26.549175893339434,3.3170950467684315,0.0472693091652862,0.2011844923058381,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Total-Cd-only,Random Forest,Default,21.094098954666475,3.0072396756398203,26.41550417014297,3.624441468689936,0.0546809543565571,0.2172200308055958,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Total-Cd-only,Gradient Boosting,Default,21.11997705062136,2.7293004771370515,26.693902215648095,3.361113033709593,0.035721196707861,0.2094630802312808,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Total-Cd-only,Ridge Regression,Default,22.033643179751625,1.901849165627148,26.063795944177645,2.0412299852493097,0.0900923491311655,0.0894739037600568,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Soil-properties-only,Random Forest,Default,17.756021419801822,2.152646698967905,22.2801203089756,2.601099858092293,0.3305779866183133,0.1298342692900135,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Soil-properties-only,Gradient Boosting,Default,18.29356385637087,2.2060621601808763,23.078144341123203,2.5601604400152853,0.2812875314497595,0.1375994917173495,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Soil-properties-only,XGBoost,Default,18.312041816131043,2.1444801953227097,22.93999337255526,2.5518472360379016,0.2907851255337045,0.1315670054461904,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Soil-properties-only,Ridge Regression,Default,21.867539944540557,2.279642439579457,25.91376771967284,2.315259667493525,0.0979412711324116,0.1253299232482525,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil,Random Forest,Default,17.115521846163382,2.231565774856497,21.518198801158825,2.656824835283069,0.3749637511164293,0.1288991476401062,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil,XGBoost,Default,17.6811034687798,2.274196361109504,22.30145803114808,2.8041302932730767,0.3275949042506913,0.146508823803734,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil,Gradient Boosting,Default,17.80627539210694,2.3284707493287966,22.728996003261116,2.876241898414488,0.2998503551857553,0.1604098759248786,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil,Ridge Regression,Default,20.807532659290665,2.3842607960434146,25.461555953299754,2.58594074487782,0.1271225788567552,0.1498215660831267,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil + Method,Random Forest,Default,16.678183149817176,2.2917469152386896,21.04423132841487,2.671240513907379,0.4020587566875959,0.12876438987962,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil + Method,XGBoost,Default,16.89788532903311,2.216937324104697,21.426919394578164,2.696186827174295,0.3795381745586716,0.1368853513326315,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil + Method,Gradient Boosting,Default,17.41266572867695,2.312646607305106,22.209776099656374,2.842488675670583,0.3315358140664434,0.1534505465525236,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Cd + Soil + Method,Ridge Regression,Default,20.258617004327053,2.4467004234092955,25.14043954168334,2.84838884301273,0.1455099172307782,0.1792319938044747,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Full-feature,Random Forest,Default,16.14802231356106,2.2319282506491627,20.5020641865111,2.654119433738745,0.4322321461857099,0.1242584465496687,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Full-feature,XGBoost,Default,16.239840938297153,2.2315326979131127,20.807308904808306,2.784829133000476,0.4134954356747837,0.1387391463809412,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Full-feature,Gradient Boosting,Default,16.633806130925542,2.2186479181534198,21.483747931784528,2.874485291071277,0.374335289426881,0.1471482189248281,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Full-feature,Ridge Regression,Default,19.850405101098573,2.615037353680333,24.60169009057714,2.8830598833667307,0.1823065480590324,0.1706018108827485,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/03_feature_group_ablation.py,Default (not tuned)
Full-feature,Tuned Random Forest,Tuned (RandomizedSearchCV),15.80946287634312,2.1257544997084303,19.967258211634014,2.4906133862215816,0.4621058070259628,0.1129816540417548,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/05_evaluate_tuned_rf.py,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 20}"
Full-feature,Tuned XGBoost,Tuned (RandomizedSearchCV),16.07696967081599,2.289650116575068,20.451918405121464,2.7897317476372403,0.4327552864623121,0.1419849415762035,190,50,"RepeatedKFold(n_splits=5, n_repeats=10)",scripts/07_evaluate_tuned_xgb.py,"{""subsample"": 0.7, ""reg_lambda"": 1, ""reg_alpha"": 1, ""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
